stop_id,hour,is_weekday,trips_per_hour,peak_hour,stop_name,stop_lat,stop_lon,rain_mm,is_rain,heavy_rain,temperature,avg_travel_time,median_travel_time,p90_travel_time,high_congestion,delay_overcrowding
0100TCP,7,True,2,1,Total/City Park,-1.25943,36.82673,0.0571428571428571,0.5,0.0,20.92142857142857,3847.35,3883.0,5704.700000000003,0.0,0
0100TIG,6,True,1,1,Tigoni,-1.126686,36.671788,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100TOR,6,True,1,1,Metro,-1.215183198,36.85956538,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100TPS,6,True,1,1,Post,-1.149687499,36.94552481,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100TTM,6,True,2,1,Total/Muchatha,-1.193078,36.777371,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100UBP,6,True,1,1,Bumps,-1.206464499,36.78183764,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100UEA,7,True,1,1,Delta Petrol Station Ruaka/Border,-1.208792657,36.78792626,0.0571428571428571,0.5,0.0,20.92142857142857,3847.35,3883.0,5704.700000000003,0.0,0
0100UMA,6,True,1,1,Munata,-1.220374471,36.76839173,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100UMT,6,True,1,1,Makutano,-1.192345351,36.74523085,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100VDA,6,True,1,1,Victory Gospel/Sda,-1.19432,36.7429,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100VEV,6,True,2,1,Velvet Lounge/Kigwaru,-1.202782,36.785553,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100VIN,6,True,2,1,Victory Inn,-1.181773,36.762476,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100VLU,6,True,1,1,6th Parklands Avenue/Regal House/Kobil,-1.257893175,36.8269524,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100VLU,7,True,1,1,6th Parklands Avenue/Regal House/Kobil,-1.257893175,36.8269524,0.0571428571428571,0.5,0.0,20.92142857142857,3847.35,3883.0,5704.700000000003,0.0,0
0100WSI,6,True,1,1,Nyari West,-1.225469112,36.78594947,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100XAM,6,True,1,1,Maxx,-1.182002753,36.72858506,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0101AGA,6,True,6,1,Aga Khan Academy,-1.26628,36.82331,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,1
0101AKE,6,True,1,1,Aga Khan Entrance,-1.26178,36.82224,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0101AKH,6,True,1,1,Aga Khan Hospital Junction/3rd Parklands Ave,-1.26288,36.8249,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0101AKN,6,True,1,1,Kwa Nyama,-1.204490429,36.78601921,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0101ALM,6,True,1,1,Amani Plaza/Almond Court,-1.25962,36.81717,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0101AME,6,True,2,1,Ambassadors Entrance,-1.19804,36.75538,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0101ARA,6,True,1,1,Garage,-1.222203738,36.78044558,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0101ARC,6,True,1,1,Car Wash,-1.204839116,36.78251624,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0101ARR,6,True,1,1,Nish Raaj/Mulberry,-1.257580519,36.81246042,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0101ARY,6,True,1,1,Arya Girls' Secondary School,-1.26085,36.82007,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0101BKH,6,True,1,1,Bypass Stage Kiambu,-1.215448,36.83521,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
