file,avg_travel_time,median_travel_time,p90_travel_time,hour,high_congestion
matonwalk-1289.csv,6770.07,6606.0,10076.900000000005,12.0,1
matonwalk-129.csv,5382.29,5468.0,8165.8,12.0,1
matonwalk-1290.csv,7298.92,6535.0,11916.500000000002,12.0,1
matonwalk-1291.csv,9707.6,10637.0,14789.6,12.0,1
matonwalk-1292.csv,9397.19,9083.5,16046.7,12.0,1
matonwalk-1293.csv,9875.36,9973.0,16737.4,12.0,1
matonwalk-1294.csv,9667.39,9093.5,16709.7,12.0,1
matonwalk-1295.csv,10140.98,10304.5,15722.600000000002,12.0,1
matonwalk-1296.csv,9176.82,9558.0,13912.300000000001,12.0,1
matonwalk-1297.csv,7442.39,7228.0,11988.400000000001,12.0,1
matonwalk-1298.csv,6105.77,5912.0,10123.500000000004,12.0,1
matonwalk-1299.csv,5838.52,5602.0,8865.400000000003,12.0,1
matonwalk-13.csv,5691.88,5459.5,8273.900000000001,13.0,1
matonwalk-130.csv,5551.22,5603.5,8582.800000000001,13.0,1
matonwalk-1300.csv,4158.0,4144.0,6203.1,13.0,0
matonwalk-1301.csv,4514.98,4684.0,6365.400000000001,13.0,0
matonwalk-1302.csv,4275.29,4468.0,6204.0,13.0,0
matonwalk-1303.csv,5057.74,5161.0,7391.2,13.0,1
matonwalk-1304.csv,6225.31,6204.0,9230.2,13.0,1
matonwalk-1305.csv,5962.46,5671.5,9976.300000000001,13.0,1
matonwalk-1306.csv,7269.74,7226.0,11811.2,13.0,1
matonwalk-1307.csv,9011.15,9679.5,14741.400000000001,13.0,1
matonwalk-1308.csv,9845.47,11397.0,15146.300000000001,13.0,1
matonwalk-1309.csv,11157.8,13432.5,16445.3,13.0,1
matonwalk-131.csv,5070.39,4928.0,7480.400000000001,13.0,1
matonwalk-1310.csv,12715.96,15109.5,17738.0,13.0,1
matonwalk-1311.csv,9152.22,6492.5,17489.0,13.0,1
matonwalk-1312.csv,8760.34,6203.5,17306.600000000002,13.0,1
matonwalk-1313.csv,10299.24,10015.0,18035.0,13.0,1
matonwalk-1314.csv,8919.17,5466.0,17812.0,13.0,1
matonwalk-1315.csv,9342.06,5601.0,17429.0,13.0,1
matonwalk-1316.csv,10846.55,6925.0,17429.0,13.0,1
matonwalk-1317.csv,10212.27,6203.5,14859.0,13.0,1
matonwalk-1318.csv,11206.69,5493.5,33747.100000000006,13.0,1
matonwalk-1319.csv,13215.65,5601.5,36457.200000000004,13.0,1
matonwalk-132.csv,4931.55,4928.0,6522.200000000001,13.0,1
matonwalk-1320.csv,16533.31,6204.0,38716.600000000006,13.0,1
matonwalk-1321.csv,20705.93,17393.0,41047.100000000006,13.0,1
matonwalk-1322.csv,27129.26,39083.0,43387.3,13.0,1
matonwalk-1323.csv,22841.35,36085.0,41519.200000000004,13.0,1
matonwalk-1324.csv,19169.05,5602.0,42681.0,13.0,1
matonwalk-1325.csv,15757.99,5044.5,42681.0,13.0,1
matonwalk-1326.csv,7075.42,6591.5,10751.2,13.0,1
matonwalk-1327.csv,5636.32,5102.0,8970.300000000001,13.0,1
matonwalk-1328.csv,4664.06,4452.5,7112.3,13.0,0
matonwalk-1329.csv,3729.72,3671.0,5793.6,13.0,0
matonwalk-133.csv,4744.21,4741.0,6290.700000000001,13.0,1
matonwalk-1330.csv,3534.82,3369.5,5505.200000000001,13.0,0
matonwalk-1331.csv,3945.61,3876.0,5909.000000000001,13.0,0
matonwalk-1332.csv,3796.67,3718.0,5670.1,13.0,0
matonwalk-1333.csv,3434.94,3265.0,5406.6,13.0,0
matonwalk-1334.csv,3587.08,3592.5,5603.0,13.0,0
matonwalk-1335.csv,3543.03,3489.0,5374.3,13.0,0
matonwalk-1336.csv,3435.54,3378.0,5176.100000000001,13.0,0
matonwalk-1337.csv,3577.86,3488.5,5251.400000000003,13.0,0
matonwalk-1338.csv,4432.67,4329.5,6615.400000000001,13.0,0
matonwalk-1339.csv,4513.14,4325.5,7091.0,13.0,0
matonwalk-134.csv,4596.95,4683.0,6214.3,13.0,0
matonwalk-1340.csv,5019.57,4926.0,7518.0,13.0,1
matonwalk-1341.csv,5628.06,5206.5,9713.300000000001,13.0,1
matonwalk-1342.csv,6540.83,5767.0,11932.300000000001,13.0,1
matonwalk-1343.csv,7721.76,6820.0,13997.000000000002,13.0,1
matonwalk-1344.csv,8521.34,6853.0,14978.800000000001,13.0,1
matonwalk-1345.csv,9292.49,9387.5,15577.2,13.0,1
matonwalk-1346.csv,11210.13,12109.0,18108.9,13.0,1
matonwalk-1347.csv,10994.19,11054.0,18219.7,13.0,1
matonwalk-1348.csv,10174.45,9870.0,17329.0,13.0,1
matonwalk-1349.csv,9001.97,8699.5,15574.200000000003,13.0,1
matonwalk-135.csv,4425.72,4682.0,6204.0,13.0,0
matonwalk-1350.csv,7764.89,6822.0,13961.500000000004,13.0,1
matonwalk-1351.csv,6993.52,6526.5,12351.500000000002,13.0,1
matonwalk-1352.csv,6606.69,6204.0,10525.000000000002,13.0,1
matonwalk-1353.csv,5522.92,5316.5,8762.7,13.0,1
matonwalk-1354.csv,4147.96,4144.0,6203.1,13.0,0
matonwalk-1355.csv,4312.26,4627.0,6206.1,13.0,0
matonwalk-1356.csv,4635.43,4801.5,6545.600000000001,13.0,0
matonwalk-1357.csv,5425.15,5516.0,8195.0,13.0,1
matonwalk-1358.csv,4219.26,4144.0,6203.1,13.0,0
