stop_id,hour,is_weekday,trips_per_hour,peak_hour,stop_name,stop_lat,stop_lon
0111IGK,6,1,1,1,Kobil Gigiri,-1.23922956,36.81144118
0111IME,6,1,1,1,Milele,-1.201035708,36.76265985
0111ISE,7,1,1,1,Site,-1.178182483,36.72254205
0111JEK,6,1,2,1,Kwa Njoki,-1.194099,36.778615
0111JM,6,1,1,1,JM,-1.188322037,36.90638065
0111KAN,6,1,1,1,Aga Khan,-1.262254447,36.82536989
0111KAU,7,1,1,1,Kianjogu Stage,-1.181209,36.727208
0111KEA,6,1,2,1,Kiambea,-1.198614,36.784122
0111KIV,6,1,2,1,Kibutu Stage/Bread of Life,-1.188314,36.771234
0111KNA,6,1,1,1,Kona,-1.220945,36.778584
0111KNE,6,1,1,1,Aga Khan Entrance,-1.261342496,36.82584196
0111KOG,6,1,1,1,Kobil Gigiri,-1.239407301,36.81168795
0111KRU,6,1,5,1,Karura/Runda,-1.22082,36.80136
0111LIS,6,1,1,1,Emsoil,-1.195987791,36.75258547
0111LON,6,1,2,1,Joyland,-1.204928756,36.77661002
0111LSO,6,1,1,1,Chantilly School,-1.180808008,36.76191151
0111MAO,6,1,1,1,Mwambao,-1.256381929,36.82609141
0111MCM,6,1,2,1,Mirai Court/Mifereji,-1.20322,36.77046
0111MIF,6,1,1,1,Mfereji,-1.203888774,36.77303195
0111MKT,6,1,1,1,Makutano,-1.159354,36.743484
0111MME,6,1,1,1,Muthaiga Mini Market,-1.250145435,36.820786
0111MRE,6,1,1,1,Muthaiga Mini Market,-1.25019908,36.82072967
0111NDS,6,1,2,1,Ndenderu Stage/Shell,-1.19303,36.74802
0111NKM,6,1,1,1,Nakumatt/Post Office,-1.26012,36.81825
